2023-07-13 15:08:43.177 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 15:08:43.316 INFO | [MainThread] chat [39] | app.py <module> | Starting the app...
2023-07-13 15:09:48.886 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 15:09:48.961 INFO | [MainThread] chat [109] | chat-review.py <module> | 项目id: 190，commit_id: ['4061a323123a7a89e8121e1a70d8c1850c546a48'] 开始进行ChatGPT代码补丁审查
2023-07-13 15:09:48.961 INFO | [MainThread] chat [91] | chat-review.py review_code | 开始请求gitlab的https://gitlab.fujfu.com/api/v4/projects/190/repository/commits/4061a323123a7a89e8121e1a70d8c1850c546a48/diff   ,commit: 4061a323123a7a89e8121e1a70d8c1850c546a48的diff内容
2023-07-13 15:09:49.231 INFO | [MainThread] chat [97] | chat-review.py review_code | 开始处理All请求的类容: [{'old_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'new_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'a_mode': '100644', 'b_mode': '100644', 'new_file': False, 'renamed_file': False, 'deleted_file': False, 'diff': '@@ -60,12 +60,14 @@ public class M2RenhangReportDownloadJob extends BaseJob {\n         String currentMonth = DateUtil.beforeMonth(0).substring(0,DateUtil.beforeMonth(0).length() - 1);\n         //查询当月已经发起报告申请，但未成功下载，请求下载次数小于等于3的客户\n         List<InnerRhCusmoterListDO> list = innerRhCusmoterListDOMapper.findWaittingDownloadCusmoter(currentMonth);\n+        log.info("待下载人行报告客户list={}",list);\n         for(InnerRhCusmoterListDO innerRhCusmoterListDO : list){\n             String creditId = innerRhCusmoterListDO.getCreditId();\n             //发起下载\n             RenhangReportDownloadMO downloadMO = new RenhangReportDownloadMO();\n             downloadMO.setCertId(creditId);\n             ResponseMO responseMO = creditReportWebClient.reportDownload(downloadMO);\n+            log.info("请求人行报告下载返回responseMO={}",responseMO);\n             if (CommonConstants.RESPONSE_CODE_SUCCESS == responseMO.getCode()) {\n                 //更新状态为成功下载\n                 innerRhCusmoterListDO.setIsSuccess("1");\n'}]
2023-07-13 15:09:49.231 INFO | [MainThread] chat [73] | chat-review.py chat_review | 开始code review
2023-07-13 15:09:49.231 INFO | [MainThread] chat [75] | chat-review.py chat_review | 单项目的commit内容： {'old_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'new_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'a_mode': '100644', 'b_mode': '100644', 'new_file': False, 'renamed_file': False, 'deleted_file': False, 'diff': '@@ -60,12 +60,14 @@ public class M2RenhangReportDownloadJob extends BaseJob {\n         String currentMonth = DateUtil.beforeMonth(0).substring(0,DateUtil.beforeMonth(0).length() - 1);\n         //查询当月已经发起报告申请，但未成功下载，请求下载次数小于等于3的客户\n         List<InnerRhCusmoterListDO> list = innerRhCusmoterListDOMapper.findWaittingDownloadCusmoter(currentMonth);\n+        log.info("待下载人行报告客户list={}",list);\n         for(InnerRhCusmoterListDO innerRhCusmoterListDO : list){\n             String creditId = innerRhCusmoterListDO.getCreditId();\n             //发起下载\n             RenhangReportDownloadMO downloadMO = new RenhangReportDownloadMO();\n             downloadMO.setCertId(creditId);\n             ResponseMO responseMO = creditReportWebClient.reportDownload(downloadMO);\n+            log.info("请求人行报告下载返回responseMO={}",responseMO);\n             if (CommonConstants.RESPONSE_CODE_SUCCESS == responseMO.getCode()) {\n                 //更新状态为成功下载\n                 innerRhCusmoterListDO.setIsSuccess("1");\n'}
2023-07-13 15:09:52.411 INFO | [MainThread] chat [91] | chat-review.py review_code | 开始请求gitlab的https://gitlab.fujfu.com/api/v4/projects/190/repository/commits/4061a323123a7a89e8121e1a70d8c1850c546a48/diff   ,commit: 4061a323123a7a89e8121e1a70d8c1850c546a48的diff内容
2023-07-13 15:09:52.493 INFO | [MainThread] chat [97] | chat-review.py review_code | 开始处理All请求的类容: [{'old_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'new_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'a_mode': '100644', 'b_mode': '100644', 'new_file': False, 'renamed_file': False, 'deleted_file': False, 'diff': '@@ -60,12 +60,14 @@ public class M2RenhangReportDownloadJob extends BaseJob {\n         String currentMonth = DateUtil.beforeMonth(0).substring(0,DateUtil.beforeMonth(0).length() - 1);\n         //查询当月已经发起报告申请，但未成功下载，请求下载次数小于等于3的客户\n         List<InnerRhCusmoterListDO> list = innerRhCusmoterListDOMapper.findWaittingDownloadCusmoter(currentMonth);\n+        log.info("待下载人行报告客户list={}",list);\n         for(InnerRhCusmoterListDO innerRhCusmoterListDO : list){\n             String creditId = innerRhCusmoterListDO.getCreditId();\n             //发起下载\n             RenhangReportDownloadMO downloadMO = new RenhangReportDownloadMO();\n             downloadMO.setCertId(creditId);\n             ResponseMO responseMO = creditReportWebClient.reportDownload(downloadMO);\n+            log.info("请求人行报告下载返回responseMO={}",responseMO);\n             if (CommonConstants.RESPONSE_CODE_SUCCESS == responseMO.getCode()) {\n                 //更新状态为成功下载\n                 innerRhCusmoterListDO.setIsSuccess("1");\n'}]
2023-07-13 15:09:52.494 INFO | [MainThread] chat [73] | chat-review.py chat_review | 开始code review
